#EXPORTTYPE:                 	DATA SINGLE                              
#FILE:                       	SK_Clear_resin_entalp10kpm_20-150.ngb-sdg
#FORMAT:                     	NETZSCH5                                 
#FTYPE:                      	ASCII                                    
#IDENTITY:                   	SK_clear_resin                           
#DECIMAL:                    	POINT                                    
#SEPARATOR:                  	TAB                                      
#MTYPE:                      	DSC                                      
#INSTRUMENT:                 	NETZSCH DSC 214                          
#PROJECT:                    	?ø?†??-Ø                               
#DATE/TIME:                  	13.09.2019 18:18:30 (UTC+3)              
#CORR. FILE:                 	                                         
#TEMPCAL:                    	applied                                  
#SENSITIVITY:                	applied                                  
#LABORATORY:                 	CISIS                                    
#OPERATOR:                   	Nasonov                                  
#REMARK:                     	                                         
#SAMPLE:                     	1070-G290S -0-Ù.1-3-17X3                 
#SAMPLE MASS /mg:            	7.81                                     
#MATERIAL:                   	                                         
#REFERENCE:                  	                                         
#REFERENCE MASS /mg:         	7.76                                     
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid             
#SAMPLE CRUCIBLE MASS /mg:   	0                                        
#REFERENCE CRUCIBLE MASS /mg:	0                                        
#M.RANGE /ßV:                	5000                                     
#TAU-R:                      	---                                      
#CORR. CODE:                 	009                                      
#EXO:                        	+1                                       
#RANGE:                      	20ËC/10.0(K/min)/150ËC                   
#SEGMENT:                    	S1/1                                     
#SEG. 1:                     	20ËC/10.0(K/min)/150ËC                   

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 20.04200	 0.00000	 2.977584e-002	3.36736
 20.04014	 0.01000	 2.965883e-002	3.36736
 20.04054	 0.02000	 2.948481e-002	3.36736
 20.04737	 0.03000	 2.934014e-002	3.36736
 20.06740	 0.04000	 2.954732e-002	3.36738
 20.10158	 0.05000	 3.321125e-002	3.36742
 20.15027	 0.06000	 3.920236e-002	3.36747
 20.21267	 0.07000	 4.708485e-002	3.36754
 20.28794	 0.08000	 5.445116e-002	3.36761
 20.37493	 0.09000	 6.042940e-002	3.36770
 20.47241	 0.10000	 6.351191e-002	3.36780
 20.54839	 0.11000	 6.465329e-002	3.36788
 20.63192	 0.12000	 6.292694e-002	3.36797
 20.72293	 0.13000	 5.876926e-002	3.36806
 20.82152	 0.14000	 5.220800e-002	3.36816
 20.92743	 0.15000	 4.344716e-002	3.36827
 21.04020	 0.16000	 3.202363e-002	3.36838
 21.15903	 0.17000	 1.857820e-002	3.36851
 21.28336	 0.18000	 3.686191e-003	3.36863
 21.41259	 0.19000	-1.320208e-002	3.36876
 21.54605	 0.20000	-3.142066e-002	3.36889
 21.68310	 0.21000	-5.065201e-002	3.36903
 21.82318	 0.22000	-7.098074e-002	3.36917
 21.96559	 0.23000	-9.182849e-002	3.36931
 22.10980	 0.24000	      -0.11301	3.36945
 22.25526	 0.25000	      -0.13472	3.36960
 22.40136	 0.26000	      -0.15592	3.36974
 22.54764	 0.27000	      -0.17684	3.36988
 22.69364	 0.28000	      -0.19706	3.37003
 22.83887	 0.29000	      -0.21678	3.37017
 22.98302	 0.30000	      -0.23564	3.37030
 23.12559	 0.31000	      -0.25352	3.37044
 23.26643	 0.32000	      -0.27045	3.37058
 23.40515	 0.33000	      -0.28616	3.37071
 23.54157	 0.34000	      -0.30089	3.37084
 23.67556	 0.35000	      -0.31422	3.37096
 23.80680	 0.36000	      -0.32634	3.37109
 23.93533	 0.37000	      -0.33713	3.37121
 24.06108	 0.38000	      -0.34644	3.37133
 24.18393	 0.39000	      -0.35428	3.37144
 24.30385	 0.40000	      -0.36109	3.37155
 24.42090	 0.41000	      -0.36633	3.37166
 24.53511	 0.42000	      -0.37045	3.37176
 24.64664	 0.43000	      -0.37361	3.37187
 24.75543	 0.44000	      -0.37550	3.37197
 24.86162	 0.45000	      -0.37635	3.37206
 24.96544	 0.46000	      -0.37613	3.37216
 25.06698	 0.47000	      -0.37529	3.37225
 25.16638	 0.48000	      -0.37339	3.37234
 25.26377	 0.49000	      -0.37080	3.37243
 25.35933	 0.50000	      -0.36757	3.37251
 25.45326	 0.51000	      -0.36377	3.37260
 25.54562	 0.52000	      -0.35950	3.37268
 25.63666	 0.53000	      -0.35474	3.37276
 25.72661	 0.54000	      -0.34960	3.37284
 25.81551	 0.55000	      -0.34415	3.37292
 25.90357	 0.56000	      -0.33869	3.37300
 25.99100	 0.57000	      -0.33332	3.37307
 26.07784	 0.58000	      -0.32751	3.37315
 26.16434	 0.59000	      -0.32192	3.37323
 26.25066	 0.60000	      -0.31611	3.37330
 26.33689	 0.61000	      -0.31049	3.37338
 26.42315	 0.62000	      -0.30488	3.37345
 26.50946	 0.63000	      -0.29973	3.37353
 26.59592	 0.64000	      -0.29510	3.37360
 26.68259	 0.65000	      -0.29032	3.37367
 26.76954	 0.66000	      -0.28569	3.37375
 26.85693	 0.67000	      -0.28152	3.37382
 26.94479	 0.68000	      -0.27747	3.37390
 27.03328	 0.69000	      -0.27403	3.37397
 27.12231	 0.70000	      -0.27056	3.37405
 27.21192	 0.71000	      -0.26768	3.37413
 27.30230	 0.72000	      -0.26546	3.37420
 27.39326	 0.73000	      -0.26329	3.37428
 27.48489	 0.74000	      -0.26136	3.37436
 27.57716	 0.75000	      -0.25957	3.37443
 27.67008	 0.76000	      -0.25874	3.37451
 27.76369	 0.77000	      -0.25808	3.37459
 27.85797	 0.78000	      -0.25736	3.37467
 27.95293	 0.79000	      -0.25661	3.37475
 28.04852	 0.80000	      -0.25594	3.37482
 28.14459	 0.81000	      -0.25599	3.37490
 28.24116	 0.82000	      -0.25643	3.37498
 28.33828	 0.83000	      -0.25720	3.37506
 28.43593	 0.84000	      -0.25801	3.37514
 28.53418	 0.85000	      -0.25876	3.37522
 28.63280	 0.86000	      -0.25971	3.37530
 28.73185	 0.87000	      -0.26083	3.37538
 28.83125	 0.88000	      -0.26207	3.37546
 28.93089	 0.89000	      -0.26331	3.37554
 29.03082	 0.90000	      -0.26459	3.37562
 29.13102	 0.91000	      -0.26613	3.37570
 29.23133	 0.92000	      -0.26749	3.37578
