#EXPORTTYPE:                 	DATA SINGLE                             
#FILE:                       	SK_Clear_resin_entalp5kpm_20-150.ngb-sdg
#FORMAT:                     	NETZSCH5                                
#FTYPE:                      	ASCII                                   
#IDENTITY:                   	SK_clear_resin                          
#DECIMAL:                    	POINT                                   
#SEPARATOR:                  	TAB                                     
#MTYPE:                      	DSC                                     
#INSTRUMENT:                 	NETZSCH DSC 214                         
#PROJECT:                    	?ø?†??-Ø                              
#DATE/TIME:                  	13.09.2019 19:00:27 (UTC+3)             
#CORR. FILE:                 	                                        
#TEMPCAL:                    	applied                                 
#SENSITIVITY:                	applied                                 
#LABORATORY:                 	CISIS                                   
#OPERATOR:                   	Nasonov                                 
#REMARK:                     	                                        
#SAMPLE:                     	1070-G290S -0-Ù.1-3-17X3                
#SAMPLE MASS /mg:            	8.3                                     
#MATERIAL:                   	                                        
#REFERENCE:                  	                                        
#REFERENCE MASS /mg:         	7.76                                    
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid            
#SAMPLE CRUCIBLE MASS /mg:   	0                                       
#REFERENCE CRUCIBLE MASS /mg:	0                                       
#M.RANGE /ßV:                	5000                                    
#TAU-R:                      	---                                     
#CORR. CODE:                 	009                                     
#EXO:                        	+1                                      
#RANGE:                      	20ËC/5.0(K/min)/130ËC                   
#SEGMENT:                    	S1/1                                    
#SEG. 1:                     	20ËC/5.0(K/min)/130ËC                   

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 20.01700	 0.00000	 2.279258e-002	3.36733
 20.01794	 0.01000	 2.283882e-002	3.36733
 20.01857	 0.02000	 2.282005e-002	3.36733
 20.02401	 0.03000	 2.276994e-002	3.36734
 20.03631	 0.04000	 2.282406e-002	3.36735
 20.05572	 0.05000	 2.384946e-002	3.36737
 20.08221	 0.06000	 2.543072e-002	3.36740
 20.11548	 0.07000	 2.644164e-002	3.36743
 20.15536	 0.08000	 2.654706e-002	3.36748
 20.20107	 0.09000	 2.531115e-002	3.36752
 20.25194	 0.10000	 2.314328e-002	3.36758
 20.30736	 0.11000	 1.977917e-002	3.36763
 20.36659	 0.12000	 1.491726e-002	3.36770
 20.42885	 0.13000	 9.636392e-003	3.36776
 20.49347	 0.14000	 2.906497e-003	3.36783
 20.55978	 0.15000	-4.774378e-003	3.36789
 20.62718	 0.16000	-1.351822e-002	3.36796
 20.69514	 0.17000	-2.247876e-002	3.36803
 20.76322	 0.18000	-3.217492e-002	3.36810
 20.83084	 0.19000	-4.265134e-002	3.36817
 20.89810	 0.20000	-5.347383e-002	3.36824
 20.95363	 0.21000	-6.404487e-002	3.36830
 21.01084	 0.22000	-7.485254e-002	3.36836
 21.06926	 0.23000	-8.566256e-002	3.36841
 21.12895	 0.24000	-9.644200e-002	3.36847
 21.18972	 0.25000	      -0.10713	3.36854
 21.25151	 0.26000	      -0.11737	3.36860
 21.31399	 0.27000	      -0.12705	3.36866
 21.37708	 0.28000	      -0.13598	3.36873
 21.44067	 0.29000	      -0.14454	3.36879
 21.50451	 0.30000	      -0.15285	3.36885
 21.56849	 0.31000	      -0.16009	3.36892
 21.63248	 0.32000	      -0.16679	3.36898
 21.69631	 0.33000	      -0.17305	3.36904
 21.75992	 0.34000	      -0.17829	3.36911
 21.82305	 0.35000	      -0.18285	3.36917
 21.88572	 0.36000	      -0.18661	3.36923
 21.94780	 0.37000	      -0.18972	3.36929
 22.00920	 0.38000	      -0.19211	3.36936
 22.06984	 0.39000	      -0.19411	3.36942
 22.12967	 0.40000	      -0.19514	3.36947
 22.18866	 0.41000	      -0.19572	3.36953
 22.24679	 0.42000	      -0.19575	3.36959
 22.30397	 0.43000	      -0.19535	3.36965
 22.36021	 0.44000	      -0.19437	3.36970
 22.41551	 0.45000	      -0.19285	3.36975
 22.46989	 0.46000	      -0.19100	3.36981
 22.52335	 0.47000	      -0.18898	3.36986
 22.57592	 0.48000	      -0.18644	3.36991
 22.62766	 0.49000	      -0.18361	3.36996
 22.67854	 0.50000	      -0.18059	3.37001
 22.72860	 0.51000	      -0.17748	3.37006
 22.77793	 0.52000	      -0.17423	3.37011
 22.82658	 0.53000	      -0.17111	3.37015
 22.87456	 0.54000	      -0.16774	3.37020
 22.92194	 0.55000	      -0.16426	3.37025
 22.96877	 0.56000	      -0.16075	3.37029
 23.01514	 0.57000	      -0.15744	3.37034
 23.06108	 0.58000	      -0.15416	3.37038
 23.10667	 0.59000	      -0.15105	3.37042
 23.15190	 0.60000	      -0.14825	3.37047
 23.19690	 0.61000	      -0.14566	3.37051
 23.24167	 0.62000	      -0.14303	3.37055
 23.28634	 0.63000	      -0.14044	3.37060
 23.33085	 0.64000	      -0.13805	3.37064
 23.37533	 0.65000	      -0.13585	3.37068
 23.41979	 0.66000	      -0.13399	3.37072
 23.46429	 0.67000	      -0.13250	3.37076
 23.50884	 0.68000	      -0.13119	3.37081
 23.55348	 0.69000	      -0.12990	3.37085
 23.59818	 0.70000	      -0.12848	3.37089
 23.64304	 0.71000	      -0.12741	3.37093
 23.68810	 0.72000	      -0.12671	3.37098
 23.73330	 0.73000	      -0.12607	3.37102
 23.77875	 0.74000	      -0.12547	3.37106
 23.82438	 0.75000	      -0.12553	3.37110
 23.87030	 0.76000	      -0.12547	3.37115
 23.91644	 0.77000	      -0.12549	3.37119
 23.96282	 0.78000	      -0.12551	3.37123
 24.00938	 0.79000	      -0.12565	3.37128
 24.05620	 0.80000	      -0.12597	3.37132
 24.10324	 0.81000	      -0.12661	3.37136
 24.15052	 0.82000	      -0.12721	3.37141
 24.19804	 0.83000	      -0.12793	3.37145
 24.24584	 0.84000	      -0.12873	3.37150
 24.29380	 0.85000	      -0.12950	3.37154
 24.34200	 0.86000	      -0.13020	3.37159
 24.39036	 0.87000	      -0.13103	3.37163
 24.43892	 0.88000	      -0.13185	3.37168
 24.48764	 0.89000	      -0.13285	3.37172
 24.53654	 0.90000	      -0.13359	3.37177
 24.58563	 0.91000	      -0.13441	3.37181
 24.63484	 0.92000	      -0.13529	3.37186
 24.68415	 0.93000	      -0.13615	3.37190
 24.73359	 0.94000	      -0.13695	3.37195
 24.78318	 0.95000	      -0.13768	3.37199
 24.83285	 0.96000	      -0.13857	3.37204
 24.88262	 0.97000	      -0.13964	3.37208
 24.93246	 0.98000	      -0.14025	3.37213
 24.98232	 0.99000	      -0.14057	3.37217
 25.03225	 1.00000	      -0.14134	3.37222
