#EXPORTTYPE:                 	DATA SINGLE                              
#FILE:                       	SK_Clear_resin_entalp75kpm_20-150.ngb-sdg
#FORMAT:                     	NETZSCH5                                 
#FTYPE:                      	ASCII                                    
#IDENTITY:                   	SK_clear_resin                           
#DECIMAL:                    	POINT                                    
#SEPARATOR:                  	TAB                                      
#MTYPE:                      	DSC                                      
#INSTRUMENT:                 	NETZSCH DSC 214                          
#PROJECT:                    	?ø?†??-Ø                               
#DATE/TIME:                  	13.09.2019 18:37:53 (UTC+3)              
#CORR. FILE:                 	                                         
#TEMPCAL:                    	applied                                  
#SENSITIVITY:                	applied                                  
#LABORATORY:                 	CISIS                                    
#OPERATOR:                   	Nasonov                                  
#REMARK:                     	                                         
#SAMPLE:                     	1070-G290S -0-Ù.1-3-17X3                 
#SAMPLE MASS /mg:            	9.19                                     
#MATERIAL:                   	                                         
#REFERENCE:                  	                                         
#REFERENCE MASS /mg:         	7.76                                     
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid             
#SAMPLE CRUCIBLE MASS /mg:   	0                                        
#REFERENCE CRUCIBLE MASS /mg:	0                                        
#M.RANGE /ßV:                	5000                                     
#TAU-R:                      	---                                      
#CORR. CODE:                 	009                                      
#EXO:                        	+1                                       
#RANGE:                      	20ËC/7.5(K/min)/150ËC                    
#SEGMENT:                    	S1/1                                     
#SEG. 1:                     	20ËC/7.5(K/min)/150ËC                    

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 20.05400	 0.00000	 2.252373e-002	3.36737
 20.05140	 0.01000	 2.252251e-002	3.36737
 20.05122	 0.02000	 2.286732e-002	3.36737
 20.05692	 0.03000	 2.304044e-002	3.36737
 20.07247	 0.04000	 2.393073e-002	3.36739
 20.09886	 0.05000	 2.719071e-002	3.36742
 20.13616	 0.06000	 3.294484e-002	3.36746
 20.18386	 0.07000	 3.993500e-002	3.36751
 20.24139	 0.08000	 4.638733e-002	3.36757
 20.30800	 0.09000	 5.188073e-002	3.36763
 20.38249	 0.10000	 5.609496e-002	3.36771
 20.46384	 0.11000	 5.873549e-002	3.36780
 20.55100	 0.12000	 5.952858e-002	3.36789
 20.64289	 0.13000	 5.847721e-002	3.36798
 20.72618	 0.14000	 5.587360e-002	3.36807
 20.80140	 0.15000	 5.176815e-002	3.36814
 20.88084	 0.16000	 4.571805e-002	3.36822
 20.96449	 0.17000	 3.838859e-002	3.36831
 21.05215	 0.18000	 2.928867e-002	3.36840
 21.14347	 0.19000	 1.898412e-002	3.36849
 21.23807	 0.20000	 7.450274e-003	3.36859
 21.33549	 0.21000	-5.092924e-003	3.36868
 21.43527	 0.22000	-1.822617e-002	3.36878
 21.53711	 0.23000	-3.236674e-002	3.36889
 21.64056	 0.24000	-4.663039e-002	3.36899
 21.74515	 0.25000	-6.136020e-002	3.36909
 21.85067	 0.26000	-7.653377e-002	3.36920
 21.95669	 0.27000	-9.153352e-002	3.36930
 22.06287	 0.28000	      -0.10621	3.36941
 22.16889	 0.29000	      -0.12088	3.36951
 22.27435	 0.30000	      -0.13513	3.36962
 22.37907	 0.31000	      -0.14859	3.36972
 22.48278	 0.32000	      -0.16176	3.36982
 22.58533	 0.33000	      -0.17397	3.36992
 22.68645	 0.34000	      -0.18539	3.37002
 22.78604	 0.35000	      -0.19627	3.37011
 22.88393	 0.36000	      -0.20638	3.37021
 22.97998	 0.37000	      -0.21519	3.37030
 23.07415	 0.38000	      -0.22307	3.37039
 23.16636	 0.39000	      -0.22985	3.37048
 23.25664	 0.40000	      -0.23626	3.37057
 23.34500	 0.41000	      -0.24158	3.37065
 23.43138	 0.42000	      -0.24568	3.37073
 23.51578	 0.43000	      -0.24914	3.37081
 23.59825	 0.44000	      -0.25180	3.37089
 23.67880	 0.45000	      -0.25378	3.37097
 23.75758	 0.46000	      -0.25468	3.37104
 23.83462	 0.47000	      -0.25482	3.37111
 23.91013	 0.48000	      -0.25463	3.37118
 23.98411	 0.49000	      -0.25378	3.37125
 24.05662	 0.50000	      -0.25212	3.37132
 24.12787	 0.51000	      -0.25028	3.37139
 24.19787	 0.52000	      -0.24794	3.37145
