#EXPORTTYPE:                 	DATA SINGLE                            
#FILE:                       	SK_Mix_resin_entalp10kpm_20-150.ngb-sdg
#FORMAT:                     	NETZSCH5                               
#FTYPE:                      	ASCII                                  
#IDENTITY:                   	1                                      
#DECIMAL:                    	POINT                                  
#SEPARATOR:                  	TAB                                    
#MTYPE:                      	DSC                                    
#INSTRUMENT:                 	NETZSCH DSC 214                        
#PROJECT:                    	?ø?†??-Ø                             
#DATE/TIME:                  	12.09.2019 20:12:26 (UTC+3)            
#CORR. FILE:                 	                                       
#TEMPCAL:                    	applied                                
#SENSITIVITY:                	applied                                
#LABORATORY:                 	CISIS                                  
#OPERATOR:                   	Nasonov                                
#REMARK:                     	                                       
#SAMPLE:                     	20190907_1083-G290S -0-                
#SAMPLE MASS /mg:            	6.8                                    
#MATERIAL:                   	                                       
#REFERENCE:                  	                                       
#REFERENCE MASS /mg:         	0                                      
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid           
#SAMPLE CRUCIBLE MASS /mg:   	0                                      
#REFERENCE CRUCIBLE MASS /mg:	0                                      
#M.RANGE /ßV:                	5000                                   
#TAU-R:                      	---                                    
#CORR. CODE:                 	009                                    
#EXO:                        	+1                                     
#RANGE:                      	20ËC/10.0(K/min)/250ËC                 
#SEGMENT:                    	S1/1                                   
#SEG. 1:                     	20ËC/10.0(K/min)/250ËC                 

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 20.04200	 0.00000	 3.906300e-002	3.36736
 20.04257	 0.01000	 3.926298e-002	3.36736
 20.04262	 0.02000	 3.962950e-002	3.36736
 20.05011	 0.03000	 3.966288e-002	3.36737
 20.07088	 0.04000	 3.883601e-002	3.36739
 20.10658	 0.05000	 3.498080e-002	3.36743
 20.15692	 0.06000	 2.713596e-002	3.36748
 20.22086	 0.07000	 1.496760e-002	3.36754
 20.29745	 0.08000	-9.256246e-004	3.36762
 20.38544	 0.09000	-2.054126e-002	3.36771
 20.48348	 0.10000	-4.248241e-002	3.36782
 20.56018	 0.11000	-6.602029e-002	3.36789
 20.64413	 0.12000	-9.145035e-002	3.36798
 20.73562	 0.13000	      -0.11734	3.36807
 20.83457	 0.14000	      -0.14396	3.36818
 20.94066	 0.15000	      -0.17063	3.36828
 21.05341	 0.16000	      -0.19744	3.36840
 21.17215	 0.17000	      -0.22366	3.36852
 21.29626	 0.18000	      -0.24862	3.36864
 21.42513	 0.19000	      -0.27247	3.36877
 21.55800	 0.20000	      -0.29535	3.36891
 21.69433	 0.21000	      -0.31732	3.36904
 21.83343	 0.22000	      -0.33727	3.36918
 21.97484	 0.23000	      -0.35627	3.36932
 22.11797	 0.24000	      -0.37330	3.36946
 22.26221	 0.25000	      -0.38880	3.36960
 22.40713	 0.26000	      -0.40216	3.36975
 22.55225	 0.27000	      -0.41442	3.36989
 22.69703	 0.28000	      -0.42458	3.37003
 22.84123	 0.29000	      -0.43325	3.37017
 22.98433	 0.30000	      -0.44005	3.37031
 23.12600	 0.31000	      -0.44543	3.37044
 23.26602	 0.32000	      -0.44916	3.37058
 23.40420	 0.33000	      -0.45139	3.37071
 23.54028	 0.34000	      -0.45232	3.37084
 23.67397	 0.35000	      -0.45193	3.37096
 23.80531	 0.36000	      -0.45043	3.37109
 23.93398	 0.37000	      -0.44755	3.37121
 24.06000	 0.38000	      -0.44372	3.37132
 24.18333	 0.39000	      -0.43935	3.37144
 24.30387	 0.40000	      -0.43386	3.37155
 24.42169	 0.41000	      -0.42800	3.37166
