#EXPORTTYPE:                 	DATA SINGLE                             
#FILE:                       	SK_Mix_resin_entalp200kpm_30-300.ngb-sdg
#FORMAT:                     	NETZSCH5                                
#FTYPE:                      	ASCII                                   
#IDENTITY:                   	SK_epoxy                                
#DECIMAL:                    	POINT                                   
#SEPARATOR:                  	TAB                                     
#MTYPE:                      	DSC                                     
#INSTRUMENT:                 	NETZSCH DSC 214                         
#PROJECT:                    	?ø?†??-Ø                              
#DATE/TIME:                  	12.09.2019 21:23:54 (UTC+3)             
#CORR. FILE:                 	                                        
#TEMPCAL:                    	applied                                 
#SENSITIVITY:                	applied                                 
#LABORATORY:                 	CISIS                                   
#OPERATOR:                   	Nasonov                                 
#REMARK:                     	                                        
#SAMPLE:                     	20190907_1083-G290S -0-                 
#SAMPLE MASS /mg:            	9.12                                    
#MATERIAL:                   	                                        
#REFERENCE:                  	                                        
#REFERENCE MASS /mg:         	0                                       
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid            
#SAMPLE CRUCIBLE MASS /mg:   	0                                       
#REFERENCE CRUCIBLE MASS /mg:	0                                       
#M.RANGE /ßV:                	5000                                    
#TAU-R:                      	---                                     
#CORR. CODE:                 	009                                     
#EXO:                        	+1                                      
#RANGE:                      	30ËC/200.0(K/min)/300ËC                 
#SEGMENT:                    	S1/1                                    
#SEG. 1:                     	30ËC/200.0(K/min)/300ËC                 

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 29.96600	0.00000	 1.569224e-002	3.37635
 29.96600	0.01000	 1.559313e-002	3.37635
 29.96729	0.02000	 1.537058e-002	3.37635
 29.99643	0.03000	 7.658363e-003	3.37638
 30.14143	0.04000	-3.785545e-002	3.37649
 30.48157	0.05000	      -0.15862	3.37675
 31.03414	0.06000	      -0.36805	3.37716
 31.79729	0.07000	      -0.65999	3.37772
 32.76486	0.08000	      -1.02201	3.37841
 33.93171	0.09000	      -1.44108	3.37920
 35.28800	0.10000	      -1.90520	3.38008
 36.82900	0.11000	      -2.40584	3.38101
 38.54300	0.12000	      -2.93396	3.38198
 40.42200	0.13000	      -3.48023	3.38295
 42.45271	0.14000	      -4.03783	3.38389
 44.62614	0.15000	      -4.60047	3.38478
 46.92957	0.16000	      -5.15993	3.38558
 49.34843	0.17000	      -5.71199	3.38628
 51.87057	0.18000	      -6.25201	3.38684
 54.48300	0.19000	      -6.77502	3.38725
 57.17043	0.20000	      -7.27530	3.38749
 59.91929	0.21000	      -7.74855	3.38754
 62.72014	0.22000	      -8.19399	3.38740
 65.56143	0.23000	      -8.61173	3.38705
 68.43471	0.24000	      -9.00067	3.38650
 71.32957	0.25000	      -9.35965	3.38574
 74.24100	0.26000	      -9.69010	3.38476
 77.15671	0.27000	      -9.99016	3.38358
 80.06857	0.28000	     -10.25965	3.38220
 82.96771	0.29000	     -10.49826	3.38062
 85.84629	0.30000	     -10.70652	3.37886
