#EXPORTTYPE:                 	DATA SINGLE                                  
#FILE:                       	SK_Mix_resin_entalp5kpm_30-150_bad_TG.ngb-sdg
#FORMAT:                     	NETZSCH5                                     
#FTYPE:                      	ASCII                                        
#IDENTITY:                   	SK_epoxy                                     
#DECIMAL:                    	POINT                                        
#SEPARATOR:                  	TAB                                          
#MTYPE:                      	DSC                                          
#INSTRUMENT:                 	NETZSCH DSC 214                              
#PROJECT:                    	?ø?†??-Ø                                   
#DATE/TIME:                  	12.09.2019 21:40:12 (UTC+3)                  
#CORR. FILE:                 	                                             
#TEMPCAL:                    	applied                                      
#SENSITIVITY:                	applied                                      
#LABORATORY:                 	CISIS                                        
#OPERATOR:                   	Nasonov                                      
#REMARK:                     	                                             
#SAMPLE:                     	20190907_1083-G290S -0-                      
#SAMPLE MASS /mg:            	9.38                                         
#MATERIAL:                   	                                             
#REFERENCE:                  	                                             
#REFERENCE MASS /mg:         	0                                            
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid                 
#SAMPLE CRUCIBLE MASS /mg:   	0                                            
#REFERENCE CRUCIBLE MASS /mg:	0                                            
#M.RANGE /ßV:                	5000                                         
#TAU-R:                      	---                                          
#CORR. CODE:                 	009                                          
#EXO:                        	+1                                           
#RANGE:                      	-40ËC....150ËC/-10.0....50.0K/min            
#SEGMENT:                    	S3/3                                         
#SEG. 1:                     	30ËC/10.0(K/min)/-40ËC                       
#SEG. 2:                     	-40ËC/50.0(K/min)/30ËC                       
#SEG. 3:                     	30ËC/5.0(K/min)/150ËC                        

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 31.60408	 8.42700	      -1.86328	3.37758
 32.00257	 8.43700	      -1.85677	3.37787
 32.34011	 8.44700	      -1.84063	3.37811
 32.61848	 8.45700	      -1.81155	3.37830
 32.84159	 8.46700	      -1.76791	3.37846
 33.01394	 8.47700	      -1.71237	3.37858
 33.14110	 8.48700	      -1.64499	3.37867
 33.22843	 8.49700	      -1.56846	3.37873
 33.28109	 8.50700	      -1.48411	3.37876
 33.30390	 8.51700	      -1.39347	3.37878
 33.30144	 8.52700	      -1.29796	3.37878
 33.27849	 8.53700	      -1.19881	3.37876
 33.23934	 8.54700	      -1.09817	3.37873
 33.18794	 8.55700	      -0.99676	3.37870
 33.12795	 8.56700	      -0.89581	3.37866
 33.06265	 8.57700	      -0.79625	3.37861
 32.99453	 8.58700	      -0.69905	3.37857
 32.92672	 8.59700	      -0.60455	3.37852
 32.89068	 8.60700	      -0.51324	3.37849
 32.91499	 8.61700	      -0.42587	3.37851
 32.92204	 8.62700	      -0.34263	3.37852
 32.91666	 8.63700	      -0.26421	3.37851
 32.90035	 8.64700	      -0.19038	3.37850
 32.87439	 8.65700	      -0.12201	3.37848
 32.84032	 8.66700	-5.915389e-002	3.37846
 32.79955	 8.67700	-2.126394e-003	3.37843
 32.75335	 8.68700	 4.961146e-002	3.37840
 32.70299	 8.69700	 9.537243e-002	3.37836
 32.64966	 8.70700	       0.13555	3.37833
 32.59454	 8.71700	       0.17023	3.37829
 32.53854	 8.72700	       0.19928	3.37825
 32.48278	 8.73700	       0.22287	3.37821
 32.42805	 8.74700	       0.24144	3.37817
 32.37516	 8.75700	       0.25522	3.37813
 32.32472	 8.76700	       0.26440	3.37810
 32.27747	 8.77700	       0.26907	3.37806
 32.23393	 8.78700	       0.26993	3.37803
 32.19449	 8.79700	       0.26685	3.37800
 32.15962	 8.80700	       0.26052	3.37798
 32.12962	 8.81700	       0.25084	3.37796
 32.10482	 8.82700	       0.23877	3.37794
 32.08539	 8.83700	       0.22406	3.37793
 32.07156	 8.84700	       0.20747	3.37792
 32.06332	 8.85700	       0.18882	3.37791
 32.06075	 8.86700	       0.16888	3.37791
 32.06383	 8.87700	       0.14743	3.37791
 32.07249	 8.88700	       0.12534	3.37792
 32.08656	 8.89700	       0.10262	3.37793
 32.10603	 8.90700	 7.944365e-002	3.37794
 32.13062	 8.91700	 5.618003e-002	3.37796
 32.16012	 8.92700	 3.284842e-002	3.37798
 32.19443	 8.93700	 9.894040e-003	3.37800
 32.23309	 8.94700	-1.263993e-002	3.37803
 32.27595	 8.95700	-3.446558e-002	3.37806
 32.32271	 8.96700	-5.562905e-002	3.37810
 32.37303	 8.97700	-7.586787e-002	3.37813
 32.42660	 8.98700	-9.536583e-002	3.37817
 32.48313	 8.99700	      -0.11389	3.37821
 32.54233	 9.00700	      -0.13127	3.37825
 32.60392	 9.01700	      -0.14711	3.37829
 32.66752	 9.02700	      -0.16202	3.37834
 32.73293	 9.03700	      -0.17533	3.37838
 32.79987	 9.04700	      -0.18784	3.37843
 32.86801	 9.05700	      -0.19903	3.37848
 32.93715	 9.06700	      -0.20882	3.37853
 33.00692	 9.07700	      -0.21741	3.37857
 33.07714	 9.08700	      -0.22479	3.37862
 33.14760	 9.09700	      -0.23105	3.37867
 33.21810	 9.10700	      -0.23588	3.37872
 33.28847	 9.11700	      -0.23970	3.37877
 33.35854	 9.12700	      -0.24276	3.37881
 33.42820	 9.13700	      -0.24485	3.37886
 33.49725	 9.14700	      -0.24601	3.37891
 33.56559	 9.15700	      -0.24633	3.37895
 33.63318	 9.16700	      -0.24600	3.37900
 33.69990	 9.17700	      -0.24484	3.37904
 33.76563	 9.18700	      -0.24312	3.37909
 33.83036	 9.19700	      -0.24081	3.37913
 33.89409	 9.20700	      -0.23806	3.37917
 33.95666	 9.21700	      -0.23496	3.37922
 34.01817	 9.22700	      -0.23151	3.37926
 34.07860	 9.23700	      -0.22772	3.37930
 34.13794	 9.24700	      -0.22358	3.37934
 34.19624	 9.25700	      -0.21936	3.37937
 34.25348	 9.26700	      -0.21481	3.37941
 34.30969	 9.27700	      -0.21056	3.37945
 34.36496	 9.28700	      -0.20614	3.37948
 34.41929	 9.29700	      -0.20164	3.37952
 34.47274	 9.30700	      -0.19727	3.37955
 34.52536	 9.31700	      -0.19293	3.37959
 34.57720	 9.32700	      -0.18881	3.37962
 34.62830	 9.33700	      -0.18505	3.37966
 34.67874	 9.34700	      -0.18131	3.37969
 34.72859	 9.35700	      -0.17755	3.37972
 34.77788	 9.36700	      -0.17444	3.37975
 34.82663	 9.37700	      -0.17123	3.37978
 34.87500	 9.38700	      -0.16829	3.37981
 34.92300	 9.39700	      -0.16542	3.37984
 34.97073	 9.40700	      -0.16292	3.37987
 35.01820	 9.41700	      -0.16087	3.37991
 35.06548	 9.42700	      -0.15891	3.37994
 35.11260	 9.43700	      -0.15710	3.37997
 35.15958	 9.44700	      -0.15569	3.37999
 35.20641	 9.45700	      -0.15444	3.38002
 35.25323	 9.46700	      -0.15368	3.38005
 35.30007	 9.47700	      -0.15283	3.38008
 35.34697	 9.48700	      -0.15227	3.38011
 35.39394	 9.49700	      -0.15169	3.38014
 35.44101	 9.50700	      -0.15159	3.38017
 35.48823	 9.51700	      -0.15171	3.38020
 35.53557	 9.52700	      -0.15180	3.38023
 35.58306	 9.53700	      -0.15201	3.38026
 35.63075	 9.54700	      -0.15220	3.38029
 35.67860	 9.55700	      -0.15289	3.38032
 35.72662	 9.56700	      -0.15342	3.38035
 35.77483	 9.57700	      -0.15408	3.38038
 35.82329	 9.58700	      -0.15471	3.38041
 35.87192	 9.59700	      -0.15561	3.38044
 35.92076	 9.60700	      -0.15654	3.38047
 35.96980	 9.61700	      -0.15751	3.38050
 36.01907	 9.62700	      -0.15853	3.38053
 36.06852	 9.63700	      -0.15946	3.38056
 36.11818	 9.64700	      -0.16054	3.38059
 36.16794	 9.65700	      -0.16150	3.38062
 36.21784	 9.66700	      -0.16238	3.38065
 36.26790	 9.67700	      -0.16328	3.38068
 36.31808	 9.68700	      -0.16422	3.38071
 36.36840	 9.69700	      -0.16469	3.38074
 36.41885	 9.70700	      -0.16542	3.38077
 36.46939	 9.71700	      -0.16621	3.38080
 36.52005	 9.72700	      -0.16701	3.38083
 36.57083	 9.73700	      -0.16778	3.38086
 36.62168	 9.74700	      -0.16830	3.38089
 36.67258	 9.75700	      -0.16886	3.38092
 36.72356	 9.76700	      -0.16948	3.38095
 36.77457	 9.77700	      -0.17011	3.38098
 36.82567	 9.78700	      -0.17054	3.38101
 36.87675	 9.79700	      -0.17072	3.38104
 36.92788	 9.80700	      -0.17116	3.38107
 36.97898	 9.81700	      -0.17147	3.38110
 37.03010	 9.82700	      -0.17169	3.38113
 37.08121	 9.83700	      -0.17187	3.38116
 37.13231	 9.84700	      -0.17227	3.38119
 37.18339	 9.85700	      -0.17254	3.38122
 37.23444	 9.86700	      -0.17259	3.38125
 37.28545	 9.87700	      -0.17274	3.38128
 37.33642	 9.88700	      -0.17273	3.38131
 37.38732	 9.89700	      -0.17272	3.38133
 37.43815	 9.90700	      -0.17291	3.38136
 37.48901	 9.91700	      -0.17314	3.38139
 37.53976	 9.92700	      -0.17318	3.38142
 37.59051	 9.93700	      -0.17307	3.38145
 37.64120	 9.94700	      -0.17307	3.38148
 37.69187	 9.95700	      -0.17296	3.38151
 37.74250	 9.96700	      -0.17281	3.38154
 37.79313	 9.97700	      -0.17278	3.38156
 37.84370	 9.98700	      -0.17275	3.38159
 37.89423	 9.99700	      -0.17266	3.38162
 37.94472	10.00700	      -0.17255	3.38165
 37.99514	10.01700	      -0.17248	3.38168
 38.04552	10.02700	      -0.17242	3.38170
 38.09593	10.03700	      -0.17237	3.38173
 38.14629	10.04700	      -0.17234	3.38176
 38.19658	10.05700	      -0.17237	3.38179
 38.24690	10.06700	      -0.17236	3.38182
 38.29720	10.07700	      -0.17226	3.38184
 38.34747	10.08700	      -0.17213	3.38187
 38.39772	10.09700	      -0.17208	3.38190
 38.44793	10.10700	      -0.17213	3.38193
 38.49813	10.11700	      -0.17225	3.38195
 38.54831	10.12700	      -0.17224	3.38198
 38.59846	10.13700	      -0.17216	3.38201
 38.64859	10.14700	      -0.17219	3.38203
 38.69874	10.15700	      -0.17226	3.38206
 38.74884	10.16700	      -0.17240	3.38209
 38.79897	10.17700	      -0.17251	3.38211
 38.84911	10.18700	      -0.17254	3.38214
 38.89921	10.19700	      -0.17276	3.38217
 38.94933	10.20700	      -0.17273	3.38219
 38.99942	10.21700	      -0.17266	3.38222
 39.04948	10.22700	      -0.17272	3.38225
 39.09952	10.23700	      -0.17284	3.38227
 39.14957	10.24700	      -0.17290	3.38230
 39.19959	10.25700	      -0.17290	3.38233
 39.24965	10.26700	      -0.17286	3.38235
 39.29970	10.27700	      -0.17288	3.38238
 39.34973	10.28700	      -0.17291	3.38240
 39.39977	10.29700	      -0.17291	3.38243
 39.44984	10.30700	      -0.17306	3.38246
 39.49991	10.31700	      -0.17320	3.38248
 39.54994	10.32700	      -0.17321	3.38251
 39.60003	10.33700	      -0.17333	3.38253
 39.65012	10.34700	      -0.17360	3.38256
 39.70024	10.35700	      -0.17368	3.38258
 39.75037	10.36700	      -0.17380	3.38261
 39.80049	10.37700	      -0.17385	3.38264
 39.85059	10.38700	      -0.17404	3.38266
 39.90074	10.39700	      -0.17409	3.38269
 39.95087	10.40700	      -0.17415	3.38271
 40.00100	10.41700	      -0.17426	3.38274
 40.05116	10.42700	      -0.17429	3.38276
 40.10129	10.43700	      -0.17438	3.38279
 40.15144	10.44700	      -0.17441	3.38281
 40.20159	10.45700	      -0.17445	3.38284
 40.25176	10.46700	      -0.17459	3.38286
 40.30193	10.47700	      -0.17471	3.38289
 40.35212	10.48700	      -0.17488	3.38291
 40.40233	10.49700	      -0.17497	3.38294
 40.45250	10.50700	      -0.17512	3.38296
 40.50267	10.51700	      -0.17531	3.38299
 40.55282	10.52700	      -0.17546	3.38301
 40.60300	10.53700	      -0.17564	3.38303
 40.65319	10.54700	      -0.17575	3.38306
 40.70338	10.55700	      -0.17581	3.38308
 40.75358	10.56700	      -0.17606	3.38311
 40.80374	10.57700	      -0.17623	3.38313
 40.85392	10.58700	      -0.17629	3.38316
 40.90406	10.59700	      -0.17643	3.38318
 40.95420	10.60700	      -0.17652	3.38320
 41.00434	10.61700	      -0.17662	3.38323
 41.05452	10.62700	      -0.17674	3.38325
 41.10474	10.63700	      -0.17688	3.38327
 41.15493	10.64700	      -0.17700	3.38330
 41.20513	10.65700	      -0.17712	3.38332
 41.25535	10.66700	      -0.17726	3.38335
 41.30556	10.67700	      -0.17723	3.38337
 41.35579	10.68700	      -0.17724	3.38339
 41.40602	10.69700	      -0.17736	3.38342
 41.45624	10.70700	      -0.17736	3.38344
 41.50653	10.71700	      -0.17753	3.38346
 41.55676	10.72700	      -0.17754	3.38349
 41.60702	10.73700	      -0.17772	3.38351
 41.65726	10.74700	      -0.17783	3.38353
 41.70744	10.75700	      -0.17795	3.38355
 41.75763	10.76700	      -0.17799	3.38358
 41.80777	10.77700	      -0.17797	3.38360
 41.85790	10.78700	      -0.17802	3.38362
 41.90805	10.79700	      -0.17809	3.38365
 41.95811	10.80700	      -0.17823	3.38367
 42.00824	10.81700	      -0.17831	3.38369
 42.05839	10.82700	      -0.17842	3.38371
 42.10847	10.83700	      -0.17854	3.38374
 42.15858	10.84700	      -0.17852	3.38376
 42.20863	10.85700	      -0.17858	3.38378
 42.25868	10.86700	      -0.17863	3.38380
 42.30875	10.87700	      -0.17874	3.38382
 42.35880	10.88700	      -0.17885	3.38385
 42.40885	10.89700	      -0.17896	3.38387
 42.45889	10.90700	      -0.17894	3.38389
 42.50891	10.91700	      -0.17903	3.38391
 42.55904	10.92700	      -0.17912	3.38393
 42.60916	10.93700	      -0.17922	3.38396
 42.65923	10.94700	      -0.17935	3.38398
 42.70929	10.95700	      -0.17932	3.38400
 42.75932	10.96700	      -0.17935	3.38402
 42.80936	10.97700	      -0.17939	3.38404
 42.85944	10.98700	      -0.17933	3.38406
 42.90952	10.99700	      -0.17938	3.38408
 42.95962	11.00700	      -0.17965	3.38411
 43.00972	11.01700	      -0.17970	3.38413
 43.05982	11.02700	      -0.17970	3.38415
 43.10986	11.03700	      -0.17977	3.38417
 43.15992	11.04700	      -0.17984	3.38419
 43.20998	11.05700	      -0.17996	3.38421
 43.26002	11.06700	      -0.18011	3.38423
 43.31004	11.07700	      -0.18029	3.38425
 43.36006	11.08700	      -0.18042	3.38427
 43.41009	11.09700	      -0.18057	3.38429
 43.46014	11.10700	      -0.18071	3.38431
 43.51021	11.11700	      -0.18090	3.38433
 43.56024	11.12700	      -0.18105	3.38436
 43.61027	11.13700	      -0.18116	3.38438
 43.66031	11.14700	      -0.18140	3.38440
 43.71034	11.15700	      -0.18157	3.38442
 43.76035	11.16700	      -0.18182	3.38444
 43.81041	11.17700	      -0.18199	3.38446
 43.86047	11.18700	      -0.18216	3.38448
 43.91057	11.19700	      -0.18222	3.38450
 43.96069	11.20700	      -0.18226	3.38452
 44.01083	11.21700	      -0.18245	3.38454
 44.06093	11.22700	      -0.18246	3.38456
 44.11100	11.23700	      -0.18250	3.38458
 44.16112	11.24700	      -0.18265	3.38460
 44.21121	11.25700	      -0.18279	3.38462
 44.26132	11.26700	      -0.18284	3.38463
 44.31147	11.27700	      -0.18299	3.38465
 44.36158	11.28700	      -0.18315	3.38467
 44.41169	11.29700	      -0.18320	3.38469
 44.46178	11.30700	      -0.18318	3.38471
 44.51188	11.31700	      -0.18340	3.38473
 44.56203	11.32700	      -0.18366	3.38475
 44.61209	11.33700	      -0.18376	3.38477
 44.66214	11.34700	      -0.18387	3.38479
 44.71221	11.35700	      -0.18392	3.38481
 44.76230	11.36700	      -0.18398	3.38483
 44.81242	11.37700	      -0.18402	3.38485
 44.86251	11.38700	      -0.18417	3.38486
 44.91260	11.39700	      -0.18431	3.38488
 44.96267	11.40700	      -0.18437	3.38490
 45.01273	11.41700	      -0.18455	3.38492
 45.06283	11.42700	      -0.18457	3.38494
 45.11295	11.43700	      -0.18459	3.38496
 45.16307	11.44700	      -0.18466	3.38498
 45.21316	11.45700	      -0.18466	3.38499
 45.26326	11.46700	      -0.18473	3.38501
 45.31336	11.47700	      -0.18488	3.38503
 45.36347	11.48700	      -0.18493	3.38505
 45.41359	11.49700	      -0.18499	3.38507
 45.46368	11.50700	      -0.18514	3.38508
 45.51375	11.51700	      -0.18523	3.38510
 45.56388	11.52700	      -0.18528	3.38512
 45.61396	11.53700	      -0.18529	3.38514
 45.66404	11.54700	      -0.18533	3.38516
 45.71414	11.55700	      -0.18541	3.38517
 45.76423	11.56700	      -0.18553	3.38519
 45.81432	11.57700	      -0.18552	3.38521
 45.86440	11.58700	      -0.18556	3.38523
 45.91454	11.59700	      -0.18552	3.38524
 45.96466	11.60700	      -0.18561	3.38526
 46.01470	11.61700	      -0.18571	3.38528
 46.06478	11.62700	      -0.18589	3.38529
 46.11485	11.63700	      -0.18596	3.38531
 46.16492	11.64700	      -0.18604	3.38533
 46.21500	11.65700	      -0.18627	3.38534
 46.26511	11.66700	      -0.18640	3.38536
 46.31521	11.67700	      -0.18649	3.38538
 46.36527	11.68700	      -0.18647	3.38540
 46.41534	11.69700	      -0.18665	3.38541
 46.46539	11.70700	      -0.18670	3.38543
 46.51547	11.71700	      -0.18671	3.38545
 46.56559	11.72700	      -0.18679	3.38546
 46.61565	11.73700	      -0.18689	3.38548
 46.66575	11.74700	      -0.18704	3.38549
 46.71585	11.75700	      -0.18705	3.38551
 46.76594	11.76700	      -0.18711	3.38553
 46.81605	11.77700	      -0.18718	3.38554
 46.86609	11.78700	      -0.18714	3.38556
 46.91616	11.79700	      -0.18725	3.38558
 46.96623	11.80700	      -0.18738	3.38559
 47.01629	11.81700	      -0.18743	3.38561
 47.06631	11.82700	      -0.18760	3.38562
 47.11636	11.83700	      -0.18765	3.38564
 47.16636	11.84700	      -0.18767	3.38565
 47.21641	11.85700	      -0.18766	3.38567
 47.26645	11.86700	      -0.18764	3.38569
 47.31649	11.87700	      -0.18767	3.38570
 47.36651	11.88700	      -0.18775	3.38572
 47.41650	11.89700	      -0.18780	3.38573
 47.46653	11.90700	      -0.18788	3.38575
 47.51657	11.91700	      -0.18798	3.38576
 47.56660	11.92700	      -0.18811	3.38578
 47.61658	11.93700	      -0.18822	3.38579
 47.66661	11.94700	      -0.18822	3.38581
 47.71660	11.95700	      -0.18824	3.38582
 47.76663	11.96700	      -0.18831	3.38584
 47.81663	11.97700	      -0.18842	3.38585
 47.86666	11.98700	      -0.18851	3.38587
 47.91668	11.99700	      -0.18865	3.38588
 47.96669	12.00700	      -0.18887	3.38590
 48.01670	12.01700	      -0.18881	3.38591
 48.06674	12.02700	      -0.18888	3.38593
 48.11677	12.03700	      -0.18888	3.38594
 48.16683	12.04700	      -0.18899	3.38595
 48.21687	12.05700	      -0.18907	3.38597
 48.26693	12.06700	      -0.18911	3.38598
 48.31691	12.07700	      -0.18924	3.38600
 48.36694	12.08700	      -0.18941	3.38601
 48.41698	12.09700	      -0.18949	3.38603
 48.46703	12.10700	      -0.18956	3.38604
 48.51711	12.11700	      -0.18966	3.38605
 48.56713	12.12700	      -0.18971	3.38607
 48.61716	12.13700	      -0.18985	3.38608
 48.66721	12.14700	      -0.19000	3.38609
 48.71723	12.15700	      -0.19018	3.38611
 48.76729	12.16700	      -0.19038	3.38612
 48.81732	12.17700	      -0.19043	3.38614
 48.86736	12.18700	      -0.19051	3.38615
 48.91742	12.19700	      -0.19065	3.38616
 48.96748	12.20700	      -0.19074	3.38618
 49.01752	12.21700	      -0.19077	3.38619
 49.06758	12.22700	      -0.19092	3.38620
 49.11760	12.23700	      -0.19103	3.38622
 49.16760	12.24700	      -0.19106	3.38623
 49.21762	12.25700	      -0.19117	3.38624
 49.26762	12.26700	      -0.19125	3.38625
 49.31768	12.27700	      -0.19136	3.38627
 49.36768	12.28700	      -0.19140	3.38628
 49.41770	12.29700	      -0.19140	3.38629
 49.46775	12.30700	      -0.19155	3.38631
 49.51780	12.31700	      -0.19171	3.38632
 49.56782	12.32700	      -0.19169	3.38633
 49.61786	12.33700	      -0.19165	3.38634
 49.66785	12.34700	      -0.19171	3.38636
 49.71786	12.35700	      -0.19177	3.38637
 49.76790	12.36700	      -0.19186	3.38638
 49.81791	12.37700	      -0.19196	3.38639
 49.86797	12.38700	      -0.19200	3.38640
 49.91800	12.39700	      -0.19210	3.38642
 49.96800	12.40700	      -0.19216	3.38643
 50.01803	12.41700	      -0.19216	3.38644
 50.06809	12.42700	      -0.19232	3.38645
 50.11814	12.43700	      -0.19230	3.38646
 50.16816	12.44700	      -0.19230	3.38648
 50.21819	12.45700	      -0.19225	3.38649
 50.26822	12.46700	      -0.19231	3.38650
 50.31824	12.47700	      -0.19249	3.38651
 50.36830	12.48700	      -0.19265	3.38652
 50.41832	12.49700	      -0.19273	3.38653
 50.46836	12.50700	      -0.19293	3.38655
 50.51842	12.51700	      -0.19308	3.38656
 50.56848	12.52700	      -0.19318	3.38657
 50.61857	12.53700	      -0.19312	3.38658
 50.66863	12.54700	      -0.19306	3.38659
 50.71870	12.55700	      -0.19319	3.38660
 50.76879	12.56700	      -0.19335	3.38661
 50.81892	12.57700	      -0.19350	3.38662
 50.86903	12.58700	      -0.19355	3.38663
 50.91915	12.59700	      -0.19372	3.38665
 50.96920	12.60700	      -0.19393	3.38666
 51.01929	12.61700	      -0.19413	3.38667
 51.06940	12.62700	      -0.19426	3.38668
 51.11952	12.63700	      -0.19437	3.38669
 51.16969	12.64700	      -0.19436	3.38670
 51.21985	12.65700	      -0.19433	3.38671
 51.26996	12.66700	      -0.19448	3.38672
 51.32011	12.67700	      -0.19447	3.38673
 51.37026	12.68700	      -0.19447	3.38674
 51.42039	12.69700	      -0.19456	3.38675
 51.47053	12.70700	      -0.19478	3.38676
 51.52064	12.71700	      -0.19482	3.38677
