#EXPORTTYPE:                 	DATA SINGLE                            
#FILE:                       	SK_Mix_resin_entalp75kpm_20-150.ngb-sdg
#FORMAT:                     	NETZSCH5                               
#FTYPE:                      	ASCII                                  
#IDENTITY:                   	SK_epoxy                               
#DECIMAL:                    	POINT                                  
#SEPARATOR:                  	TAB                                    
#MTYPE:                      	DSC                                    
#INSTRUMENT:                 	NETZSCH DSC 214                        
#PROJECT:                    	?ø?†??-Ø                             
#DATE/TIME:                  	12.09.2019 20:53:40 (UTC+3)            
#CORR. FILE:                 	                                       
#TEMPCAL:                    	applied                                
#SENSITIVITY:                	applied                                
#LABORATORY:                 	CISIS                                  
#OPERATOR:                   	Nasonov                                
#REMARK:                     	                                       
#SAMPLE:                     	20190907_1083-G290S -0-                
#SAMPLE MASS /mg:            	9.12                                   
#MATERIAL:                   	                                       
#REFERENCE:                  	                                       
#REFERENCE MASS /mg:         	0                                      
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid           
#SAMPLE CRUCIBLE MASS /mg:   	0                                      
#REFERENCE CRUCIBLE MASS /mg:	0                                      
#M.RANGE /ßV:                	5000                                   
#TAU-R:                      	---                                    
#CORR. CODE:                 	009                                    
#EXO:                        	+1                                     
#RANGE:                      	20ËC/7.5(K/min)/150ËC                  
#SEGMENT:                    	S1/1                                   
#SEG. 1:                     	20ËC/7.5(K/min)/150ËC                  

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 20.07100	 0.00000	 2.965977e-002	3.36739
 20.06920	 0.01000	 2.990771e-002	3.36739
 20.06833	 0.02000	 3.003087e-002	3.36739
 20.07369	 0.03000	 3.003104e-002	3.36739
 20.08965	 0.04000	 2.871651e-002	3.36741
 20.11686	 0.05000	 2.402773e-002	3.36744
 20.15492	 0.06000	 1.544244e-002	3.36748
 20.20369	 0.07000	 2.986350e-003	3.36753
 20.26224	 0.08000	-1.254509e-002	3.36759
 20.32938	 0.09000	-3.075621e-002	3.36766
 20.40441	 0.10000	-5.072572e-002	3.36773
 20.48629	 0.11000	-7.208288e-002	3.36782
 20.57388	 0.12000	-9.455272e-002	3.36791
 20.66609	 0.13000	      -0.11781	3.36800
 20.74973	 0.14000	      -0.14130	3.36809
 20.82525	 0.15000	      -0.16483	3.36817
 20.90502	 0.16000	      -0.18840	3.36825
 20.98896	 0.17000	      -0.21135	3.36833
 21.07696	 0.18000	      -0.23358	3.36842
 21.16867	 0.19000	      -0.25496	3.36852
 21.26362	 0.20000	      -0.27526	3.36861
 21.36136	 0.21000	      -0.29403	3.36871
 21.46145	 0.22000	      -0.31162	3.36881
 21.56353	 0.23000	      -0.32780	3.36891
 21.66716	 0.24000	      -0.34244	3.36902
 21.77207	 0.25000	      -0.35573	3.36912
 21.87782	 0.26000	      -0.36699	3.36923
 21.98400	 0.27000	      -0.37691	3.36933
 22.09029	 0.28000	      -0.38518	3.36944
 22.19631	 0.29000	      -0.39176	3.36954
 22.30191	 0.30000	      -0.39690	3.36964
 22.40693	 0.31000	      -0.40063	3.36975
 22.51093	 0.32000	      -0.40322	3.36985
 22.61375	 0.33000	      -0.40417	3.36995
 22.71518	 0.34000	      -0.40375	3.37005
 22.81507	 0.35000	      -0.40254	3.37014
 22.91329	 0.36000	      -0.39995	3.37024
 23.00964	 0.37000	      -0.39656	3.37033
 23.10422	 0.38000	      -0.39229	3.37042
 23.19685	 0.39000	      -0.38710	3.37051
 23.28756	 0.40000	      -0.38161	3.37060
 23.37635	 0.41000	      -0.37523	3.37068
 23.46309	 0.42000	      -0.36854	3.37076
 23.54789	 0.43000	      -0.36142	3.37084
